no,판매일자,시간,상품명,단위,포장수량,구입단가,판매단가,수량,할인,판매금액,거래구분,고객명
184,2025-04-13,17:29:25,가넥트액,개,1,880,"5,000",2,0,"21,000",신한카드,
184,2025-04-13,17:29:25,헵포-콤,개,1,"2,000","5,500",2,0,"21,000",신한카드,
185,2025-04-13,17:13:46,케어리브 L 16매,개,1,"3,000","4,500",1,0,"4,500",하나카드,
186,2025-04-13,17:10:46,아이필점안액,개,1,"1,375","5,000",1,0,"5,000",비씨카드,
187,2025-04-13,17:09:11,탁센레이디,개,1,"1,188","4,000",1,0,"4,000",하나카드,
188,2025-04-13,16:59:54,이지엔6이브연질캡슐,개,1,"1,690","3,500",1,0,"3,500",국민카드,
189,2025-04-13,16:59:38,스트렙실 허니앤레몬,개,1,"3,919","8,000",1,0,"8,000",비씨카드,
190,2025-04-13,16:58:56,타이레놀8시간이알서방(신)650mg,개,1,"1,600","3,500",1,0,"3,500",비씨카드,
191,2025-04-13,16:51:44,파워포텐,개,30,"29,490","90,000",1,"57,561","32,439",현금수납,
192,2025-04-13,16:50:11,경방쌍화탕,개,1,532,"2,000",3,0,"14,300",롯데카드,
192,2025-04-13,16:50:11,신텍스 패독산,개,1,344,800,6,0,"14,300",롯데카드,
192,2025-04-13,16:50:11,판텍큐플러스,개,1,693,"3,500",1,0,"14,300",롯데카드,
193,2025-04-13,16:40:55,캐롤비코프,개,1,720,"3,500",1,0,"14,000",국민카드,
193,2025-04-13,16:40:55,트로겐연조엑스,개,1,"2,640","7,000",1,0,"14,000",국민카드,
193,2025-04-13,16:40:55,판텍큐플러스,개,1,693,"3,500",1,0,"14,000",국민카드,
194,2025-04-13,16:13:53,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",하나카드,
194,2025-04-13,16:13:53,판텍큐플러스,개,1,693,"3,500",1,0,"10,500",하나카드,
195,2025-04-13,16:08:19,호올스 멘토립터스,개,1,499,"1,000",10,0,"10,000",비씨카드,
196,2025-04-13,16:04:56,3M 종이반창고 살색 소,개,1,542,"1,500",1,0,"7,500",신한카드,
196,2025-04-13,16:04:56,신신티눈밴드에스하이드로콜로이드(발바닥형),개,1,"3,520","6,000",1,0,"7,500",신한카드,
197,2025-04-13,15:51:40,판텍큐플러스,개,1,693,"3,500",1,0,"3,500",하나카드,
198,2025-04-13,15:51:02,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",현대카드,
198,2025-04-13,15:51:02,판텍큐플러스,개,1,693,"3,500",1,0,"10,500",현대카드,
199,2025-04-13,15:47:59,애크논크림,개,1,"5,940","12,000",1,0,"15,500",국민카드,
199,2025-04-13,15:47:59,오랄비민트치실,개,1,"1,800","3,500",1,0,"15,500",국민카드,
200,2025-04-13,15:47:10,광동생강쌍화,개,1,500,"1,000",1,0,"1,000",비씨카드,
201,2025-04-13,15:45:33,나프원큐,개,1,880,"3,000",1,0,"3,000",신한카드,
202,2025-04-13,15:45:17,까스활명수큐액 1병,개,10,"8,690","11,000",1,0,"11,000",하나카드,
203,2025-04-13,15:40:42,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",신한카드,
204,2025-04-13,15:37:31,경남비타민씨정,개,1,"9,800","20,000",1,0,"20,000",국민카드,
205,2025-04-13,15:36:08,미등록상품,개,1,0,"19,000",1,0,"19,000",국민카드,
206,2025-04-13,15:18:19,케어리브 방수용,개,1,"3,000","4,500",1,0,"4,500",국민카드,
207,2025-04-13,15:02:28,더마큐연고,개,1,"1,500","5,000",1,0,"5,000",국민카드,
208,2025-04-13,14:54:02,캐롤비코프,개,1,720,"3,500",1,0,"10,500",비씨카드,
208,2025-04-13,14:54:02,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",비씨카드,
209,2025-04-13,14:51:02,스타빅현탁액 6포,개,1,"3,300","6,000",1,0,"10,000",롯데카드,
209,2025-04-13,14:51:02,콜대원 콜드 큐,개,1,"1,750","4,000",1,0,"10,000",롯데카드,
210,2025-04-13,14:50:22,스타빅현탁액 6포,개,1,"3,300","6,000",1,0,"11,000",신한카드,
210,2025-04-13,14:50:22,정로환당의정EX,개,1,"3,800","5,000",1,0,"11,000",신한카드,
211,2025-04-13,14:46:58,그린관장약30ml 1병,개,1,313,600,1,0,600,신한카드,
212,2025-04-13,14:39:33,캐롤비코프,개,1,720,"3,500",1,0,"3,500",국민카드,
213,2025-04-13,14:25:52,다제스캅셀,개,1,"1,500","4,000",1,0,"4,000",비씨카드,
214,2025-04-13,14:25:29,탄력붕대 15센치,개,1,1,"3,000",1,0,"3,000",현금수납,
215,2025-04-13,14:20:39,폼포미 고탕력밴드 표준형,개,1,"1,430","3,500",1,0,"3,500",현대카드,
216,2025-04-13,14:16:29,맘앤베베 스텝2,개,1,0,"1,500",1,0,"1,500",현금수납,
217,2025-04-13,13:59:01,이브원큐 에스,개,1,770,"3,000",1,0,"3,000",신한카드,
218,2025-04-13,13:51:57,노스카나겔 20g,개,1,"13,200","20,000",1,0,"20,000",국민카드,
219,2025-04-13,13:49:43,신텍스 패독산,개,1,344,800,6,0,"8,300",신한카드,
219,2025-04-13,13:49:43,판텍큐플러스,개,1,693,"3,500",1,0,"8,300",신한카드,
220,2025-04-13,13:47:04,노블루겔,개,1,"4,545","12,000",1,0,"12,000",현대카드,
221,2025-04-13,13:38:50,나프원큐,개,1,880,"3,000",1,0,"9,000",국민카드,
221,2025-04-13,13:38:50,에폴민 카타플라스마,개,1,"3,000","6,000",1,0,"9,000",국민카드,
222,2025-04-13,13:27:14,타이레놀500mg(10t),개,1,"2,250","4,000",1,0,"4,000",하나카드,
223,2025-04-13,13:22:17,판텍큐플러스,개,1,693,"3,500",1,0,"3,500",신한카드,
224,2025-04-13,13:21:49,우먼스타이레놀,개,1,0,"4,000",1,0,"4,000",비씨카드,
225,2025-04-13,13:20:03,까스활명수큐액 1병,개,1,"1,050","1,200",1,0,"16,200",하나카드,
225,2025-04-13,13:20:03,니코레트껌2mg,개,1,"9,300","12,000",1,0,"16,200",하나카드,
225,2025-04-13,13:20:03,닥터베아제정,개,1,"2,640","3,000",1,0,"16,200",하나카드,
226,2025-04-13,13:19:04,그린관장약30ml 1병,개,1,313,600,1,0,600,국민카드,
227,2025-04-13,12:57:29,노보민시럽,개,1,"1,100","2,500",1,0,"2,500",하나카드,
228,2025-04-13,12:19:11,나프원큐,개,1,880,"3,000",1,0,"3,000",비씨카드,
229,2025-04-13,12:16:12,그날엔큐삼중정,개,1,"1,210","3,000",1,0,"3,000",비씨카드,
230,2025-04-13,12:15:44,현대아시클로버크림,개,1,"1,080","5,000",1,0,"5,000",국민카드,
231,2025-04-13,12:14:18,까스활명수큐액 1병,개,1,"1,050","1,200",1,0,"4,200",신한카드,
231,2025-04-13,12:14:18,나프원큐,개,1,880,"3,000",1,0,"4,200",신한카드,
232,2025-04-13,12:11:06,마데카솔케어연고 6g 소형,개,1,"4,000","5,000",1,0,"5,000",롯데카드,
233,2025-04-13,11:56:54,마데카솔케어연고 6g 소형,개,1,"4,000","5,000",1,0,"14,000",국민카드,
233,2025-04-13,11:56:54,폼포미4매,개,1,"2,904","9,000",1,0,"14,000",국민카드,
234,2025-04-13,11:54:41,쎄르텍정10t,개,1,550,"3,000",2,0,"6,000",신한카드,
235,2025-04-13,11:53:08,기맥연조엑스(맥문동탕) 5포,개,1,"2,292","7,000",1,0,"19,000",국민카드,
235,2025-04-13,11:53:08,아세틸캡슐,개,1,850,"3,000",1,0,"19,000",국민카드,
235,2025-04-13,11:53:08,지르텍정,개,1,"4,200","5,500",1,0,"19,000",국민카드,
235,2025-04-13,11:53:08,캐롤비코프,개,1,720,"3,500",1,0,"19,000",국민카드,
236,2025-04-13,11:52:08,비판텐 30g,개,1,"9,680","12,000",1,0,"12,000",비씨카드,
237,2025-04-13,11:50:29,드레싱밴드(중),개,1,"1,800","4,000",1,0,"17,000",국민카드,
237,2025-04-13,11:50:29,드레싱밴드살색,개,1,"1,800","4,000",1,0,"17,000",국민카드,
237,2025-04-13,11:50:29,마데카솔케어연고 6g 소형,개,1,"4,000","5,000",1,0,"17,000",국민카드,
237,2025-04-13,11:50:29,헬스아쿠아프리,개,1,"1,700","4,000",1,0,"17,000",국민카드,
238,2025-04-13,11:46:33,비판텐 30g,개,1,"9,680","12,000",1,0,"12,000",현대카드,
239,2025-04-13,11:32:03,이브원큐 에스,개,1,770,"3,000",1,0,"10,000",삼성카드,
239,2025-04-13,11:32:03,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,000",삼성카드,
240,2025-04-13,11:25:27,듀오그린정,개,1,"1,250","5,000",1,0,"5,000",롯데카드,
241,2025-04-13,11:08:56,에폴민 카타플라스마,개,1,"3,000","6,000",1,0,"6,000",국민카드,
242,2025-04-13,11:06:03,비판텐 30g,개,1,"9,680","12,000",1,0,"12,000",신한카드,
243,2025-04-06,20:52:20,미등록상품,개,1,0,"3,000",1,"4,295","1,705",현금수납,
243,2025-04-06,20:52:20,쎄르텍정10t,개,1,550,"3,000",1,"4,295","1,705",현금수납,
244,2025-04-06,20:32:38,까스활명수큐액 1병,개,1,"1,050","1,200",1,0,"3,200",하나카드,
244,2025-04-06,20:32:38,베나치오에프액,개,1,594,"1,000",2,0,"3,200",하나카드,
245,2025-04-06,20:25:10,캐롤비코프,개,1,720,"3,500",1,0,"3,500",비씨카드,
246,2025-04-06,20:23:29,신신아렉스마일드,개,1,"2,530","5,000",1,0,"5,000",롯데카드,
247,2025-04-06,20:20:27,그린포비돈스틱스왑,개,1,0,500,2,0,"9,000",현대카드,
247,2025-04-06,20:20:27,워터락방수밴드L,개,1,"1,430","4,000",1,0,"9,000",현대카드,
247,2025-04-06,20:20:27,헬스아쿠아프리,개,1,"1,700","4,000",1,0,"9,000",현대카드,
248,2025-04-06,20:11:14,오라퀵,개,1,"33,850","45,000",1,0,"45,000",삼성카드,
249,2025-04-06,20:00:20,캐롤비코프,개,1,720,"3,500",1,0,"10,500",NH카드,
249,2025-04-06,20:00:20,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",NH카드,
250,2025-04-06,19:59:14,다제스캅셀,개,1,"1,500","4,000",1,0,"12,000",국민카드,
250,2025-04-06,19:59:14,베나치오에프액,개,1,594,"1,000",1,0,"12,000",국민카드,
250,2025-04-06,19:59:14,에스톰액,개,1,"2,000","7,000",1,0,"12,000",국민카드,
251,2025-04-06,19:44:26,닥터베아제정,개,1,"2,640","3,000",1,0,"3,000",국민카드,
252,2025-04-06,19:33:00,록소앤겔,개,1,"7,000","14,000",1,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,소청연연조엑스(소청룡탕) 5포,개,1,"2,000","7,000",1,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,이브원큐 에스,개,1,770,"3,000",2,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,치감엑스과립,개,1,162,800,6,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,콜대원 키즈 노즈에스,개,1,"1,650","5,000",1,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,콜대원 키즈 콜드,개,1,"2,530","5,000",1,0,"45,300",비씨카드,
252,2025-04-06,19:33:00,판텍큐플러스,개,1,693,"3,500",1,0,"45,300",비씨카드,
253,2025-04-06,19:06:29,메카인정,개,1,600,"2,000",1,0,"2,000",롯데카드,
254,2025-04-06,18:41:20,바시락크림,개,1,900,"5,000",1,0,"5,000",롯데카드,
255,2025-04-06,18:39:01,노블루겔,개,1,"4,545","12,000",1,0,"12,000",신한카드,
256,2025-04-06,18:08:42,나프원큐,개,1,880,"3,000",1,0,"3,000",하나카드,
257,2025-04-06,17:44:47,까스앤프리츄정,개,1,"1,760","4,500",1,0,"13,500",국민카드,
257,2025-04-06,17:44:47,폼포미4매,개,1,"2,904","9,000",1,0,"13,500",국민카드,
258,2025-04-06,17:38:30,타이레놀콜드에스(10t),개,1,"2,150","4,000",1,0,"4,000",롯데카드,
259,2025-04-06,17:22:20,판콜에스 1박스(30병),개,1,"3,100","3,500",1,0,"3,500",비씨카드,
260,2025-04-06,17:17:16,알보칠,개,1,"5,225","8,000",1,0,"8,000",국민카드,
261,2025-04-06,17:15:36,박카스D,개,1,561,700,2,0,"4,900",비씨카드,
261,2025-04-06,17:15:36,판텍큐플러스,개,1,693,"3,500",1,0,"4,900",비씨카드,
262,2025-04-06,17:02:21,캐롤비코프,개,1,720,"3,500",1,0,"10,500",비씨카드,
262,2025-04-06,17:02:21,트로겐연조엑스,개,1,"2,640","7,000",1,0,"10,500",비씨카드,
263,2025-04-06,16:59:42,코앤쿨나잘스프레이,개,1,"4,950","10,000",1,0,"10,000",하나카드,
264,2025-04-06,16:49:36,화이투벤큐플러스연질캡슐,개,1,"1,100","3,500",1,0,"3,500",NH카드,
265,2025-04-06,16:45:03,다제스캅셀,개,1,"1,500","4,000",1,0,"8,000",현대카드,
265,2025-04-06,16:45:03,베나치오에프액,개,1,594,"1,000",1,0,"8,000",현대카드,
265,2025-04-06,16:45:03,트리엘정100mg,개,1,660,"3,000",1,0,"8,000",현대카드,
266,2025-04-06,16:14:54,디어미순,개,1,"5,401","14,000",1,0,"14,000",비씨카드,
267,2025-04-06,16:02:24,디나펜플라스타,개,1,"1,172","5,000",1,0,"29,500",국민카드,
267,2025-04-06,16:02:24,쓰리엔에스테이프,개,1,"2,790","8,000",1,0,"29,500",국민카드,
267,2025-04-06,16:02:24,자가점착식밴드 대,개,1,"2,750","4,500",1,0,"29,500",국민카드,
267,2025-04-06,16:02:24,테라플루데이타임콜드앤코프,개,1,"7,445","12,000",1,0,"29,500",국민카드,
